TransactionAmount,CustomerAge,TransactionDuration,LoginAttempts,AccountBalance,TransactionType,Location,IP Address,Channel,CustomerOccupation,Cluster_KMeans
14.089999999999975,70.0,81.0,1.0,5112.21,Debit,San Diego,162.198.218.92,ATM,Doctor,2
126.28999999999999,19.0,56.0,1.0,1122.35,Debit,Mesa,215.97.143.157,Online,Student,0
184.5,26.0,25.0,1.0,8569.06,Debit,Raleigh,200.13.225.150,Online,Student,2
13.449999999999989,26.0,198.0,1.0,7429.4,Credit,Atlanta,65.164.3.100,Online,Student,1
92.15,18.0,172.0,1.0,781.6800000000003,Debit,Oklahoma City,117.67.192.211,ATM,Student,3
7.079999999999984,37.0,139.0,1.0,13316.71,Credit,Seattle,140.212.253.222,ATM,Doctor,1
106.23000000000002,51.0,86.0,1.0,9095.14,Credit,Detroit,24.148.92.177,Branch,Engineer,2
815.96,55.0,120.0,1.0,1021.8799999999997,Debit,Nashville,32.169.88.41,ATM,Doctor,3
17.78000000000003,52.0,59.0,1.0,7599.52,Credit,Albuquerque,213.15.9.253,Online,Engineer,2
190.02000000000004,21.0,173.0,1.0,1528.81,Debit,Memphis,116.175.11.222,Online,Student,3
494.52,24.0,111.0,1.0,1620.02,Credit,Mesa,210.98.198.143,Branch,Student,0
781.76,26.0,123.0,1.0,189.6899999999996,Debit,Memphis,193.83.0.183,ATM,Student,3
166.99,18.0,134.0,1.0,299.9300000000003,Debit,Louisville,188.124.181.12,Online,Student,3
465.45,36.0,129.0,1.0,3465.54,Debit,Denver,221.169.49.152,ATM,Engineer,3
555.8,19.0,158.0,1.0,1131.2600000000002,Credit,Austin,53.218.177.171,Branch,Student,3
492.93,39.0,234.0,1.0,5109.97,Debit,Columbus,114.223.129.47,Online,Engineer,1
18.680000000000007,59.0,106.0,1.0,7948.37,Credit,Albuquerque,93.218.115.132,Branch,Retired,2
71.47999999999999,18.0,169.0,1.0,6568.59,Credit,Columbus,120.170.93.69,Online,Student,1
59.31999999999999,71.0,38.0,1.0,5750.89,Debit,Los Angeles,116.44.12.250,Branch,Retired,2
85.76999999999998,38.0,93.0,1.0,9146.19,Debit,Las Vegas,59.132.247.252,Branch,Doctor,2
52.19999999999999,39.0,120.0,1.0,8974.93,Debit,Atlanta,133.63.96.21,Online,Engineer,1
145.54,21.0,96.0,1.0,1930.96,Debit,Raleigh,119.186.154.104,Online,Student,0
40.31999999999999,37.0,95.0,1.0,2686.52,Debit,Milwaukee,21.28.32.1,Branch,Engineer,0
127.44999999999999,44.0,197.0,1.0,1772.06,Debit,Las Vegas,152.234.65.155,Online,Doctor,3
28.310000000000002,59.0,20.0,1.0,8334.47,Credit,Miami,35.67.21.23,Online,Doctor,2
59.120000000000005,29.0,257.0,1.0,9823.64,Debit,Baltimore,187.199.178.27,ATM,Doctor,1
877.81,22.0,150.0,1.0,399.0,Debit,Los Angeles,134.140.85.231,Online,Student,3
124.75999999999999,49.0,45.0,1.0,5764.72,Debit,Seattle,59.145.242.13,Branch,Engineer,2
78.13,26.0,145.0,1.0,900.6099999999997,Debit,Milwaukee,33.28.138.82,Branch,Student,3
649.28,75.0,137.0,1.0,4875.86,Debit,San Jose,73.108.76.238,ATM,Retired,3
795.31,66.0,90.0,2.0,7914.88,Debit,Mesa,49.29.37.185,ATM,Doctor,2
335.63,55.0,216.0,1.0,1019.3899999999999,Debit,Oklahoma City,49.20.211.229,Online,Retired,3
328.47,63.0,119.0,1.0,4323.66,Debit,San Antonio,6.234.101.35,ATM,Retired,3
55.31999999999999,19.0,117.0,1.0,241.78999999999996,Debit,Tucson,173.135.78.201,ATM,Student,3
304.31,27.0,33.0,1.0,868.6099999999997,Debit,Louisville,77.208.193.198,Branch,Student,0
435.27,74.0,90.0,1.0,4673.28,Debit,Chicago,197.162.55.147,Branch,Retired,0
164.49,26.0,75.0,1.0,1509.27,Debit,Baltimore,113.115.81.178,Branch,Student,0
510.24,19.0,105.0,1.0,781.6999999999998,Debit,Oklahoma City,186.135.2.148,Online,Student,0
626.9,26.0,138.0,1.0,265.5100000000002,Debit,Denver,93.146.251.20,Online,Student,3
22.00999999999999,41.0,175.0,1.0,1335.0900000000001,Credit,Sacramento,124.6.134.78,Online,Engineer,3
425.34,69.0,121.0,1.0,3907.54,Credit,Kansas City,139.23.212.102,Online,Retired,3
424.56,51.0,264.0,1.0,5183.85,Debit,Omaha,179.43.245.131,Online,Engineer,1
169.5,28.0,142.0,1.0,918.8800000000001,Debit,San Diego,42.219.228.159,Branch,Student,3
104.63,62.0,90.0,1.0,4477.78,Debit,Omaha,186.135.2.148,ATM,Retired,0
316.95,25.0,83.0,1.0,1324.0299999999997,Debit,Mesa,81.102.230.41,Branch,Student,0
60.53999999999999,57.0,52.0,1.0,3534.93,Credit,Columbus,1.198.76.182,Branch,Retired,0
292.56,68.0,61.0,1.0,4638.37,Credit,Dallas,198.73.211.114,Branch,Retired,0
386.52,48.0,28.0,1.0,5630.61,Debit,Indianapolis,186.54.68.246,Branch,Engineer,2
112.07,23.0,51.0,1.0,930.3000000000002,Debit,Kansas City,198.166.198.233,Branch,Student,0
568.52,46.0,152.0,1.0,5499.91,Debit,Indianapolis,27.143.109.203,ATM,Engineer,1
263.99,79.0,227.0,2.0,4175.02,Debit,Dallas,7.146.35.122,Branch,Retired,3
349.64,48.0,226.0,1.0,6651.62,Debit,Las Vegas,9.230.41.239,Online,Engineer,1
601.4,56.0,104.0,1.0,8458.29,Credit,Philadelphia,125.225.212.244,Branch,Engineer,2
201.33,42.0,186.0,1.0,2585.07,Credit,Nashville,145.246.171.225,Branch,Engineer,3
298.42,56.0,225.0,1.0,3014.75,Debit,Indianapolis,92.214.76.157,Branch,Retired,3
521.06,25.0,128.0,1.0,1951.42,Debit,Albuquerque,131.41.45.13,Branch,Student,3
117.28,60.0,16.0,1.0,3665.77,Credit,Austin,46.150.175.171,Online,Engineer,0
189.12,32.0,103.0,1.0,977.0100000000002,Credit,Indianapolis,125.89.163.224,Branch,Engineer,0
133.55,44.0,220.0,1.0,3846.28,Debit,Atlanta,40.226.196.34,ATM,Engineer,3
143.21,35.0,135.0,1.0,6374.82,Debit,Dallas,65.164.3.100,Online,Engineer,1
24.769999999999982,62.0,55.0,1.0,5866.01,Debit,Boston,9.230.41.239,ATM,Retired,2
232.12,37.0,51.0,1.0,6689.87,Debit,Omaha,156.173.170.140,ATM,Engineer,2
162.63,22.0,113.0,1.0,634.1700000000001,Debit,Kansas City,60.153.124.80,Online,Student,0
120.29000000000002,19.0,77.0,1.0,1362.3900000000003,Debit,Miami,162.198.218.92,Branch,Student,0
174.25,50.0,67.0,1.0,10528.34,Debit,Seattle,130.92.201.49,Online,Doctor,2
183.71,38.0,102.0,1.0,552.5200000000004,Debit,Denver,86.103.2.29,ATM,Engineer,0
345.39,58.0,80.0,1.0,6451.96,Credit,Phoenix,131.41.45.13,Online,Engineer,2
259.91,49.0,170.0,1.0,7176.86,Debit,Denver,36.13.239.172,Online,Doctor,1
154.71,34.0,157.0,1.0,1523.7200000000003,Debit,San Diego,167.104.180.235,Online,Doctor,3
24.560000000000002,64.0,69.0,1.0,9869.93,Debit,Mesa,16.131.3.140,Branch,Doctor,2
568.07,48.0,115.0,1.0,10556.81,Debit,Washington,8.243.4.138,ATM,Doctor,2
9.610000000000014,58.0,179.0,1.0,12883.91,Credit,San Diego,132.127.5.187,Online,Doctor,1
392.96,24.0,100.0,1.0,791.6499999999996,Debit,Kansas City,186.54.68.246,Online,Student,0
716.93,60.0,34.0,1.0,4064.02,Credit,Milwaukee,101.223.82.253,Online,Retired,0
230.66,21.0,135.0,1.0,618.0500000000002,Debit,Houston,60.43.160.195,Branch,Student,3
